sn	book_id	isbn_10	isbn_13	Title	isbn_13	Title	Amazon	Avg_rating	Ratings	Label
78	VBjrq6Cxg2wC	345533704	9780345533708	Crazy Thing Called Love	9780345533708	Crazy Thing Called Love (Crooked Creek Ranch Book 3)	http://www.amazon.com/Crazy-Thing-Called-Crooked-Creek-ebook/dp/B008TSCA8K	4.4	75	YES
79	PmLNCQAAQBAJ	1936787318	9781936787319	"Cries For Help, Various, Stories"	9781936787319	"Cries for Help, Various: Stories"	http://www.amazon.com/Cries-Help-Various-Padgett-Powell/dp/1936787318	4.8	5	NA
81	4cYJAwAAQBAJ	385538146	9780385538145	"Dear Committee Members, A Novel"	9780385538145	Dear Committee Members: A novel	http://www.amazon.com/Dear-Committee-Members-Julie-Schumacher-ebook/dp/B00ILWUKHM	4.4	465	YES
82	b0uTBQAAQBAJ	374712646	9780374712648	"Death And Mr. Pickwick, A Novel"	9780374712648	Death and Mr. Pickwick: A Novel	http://www.amazon.com/Death-Mr-Pickwick-Stephen-Jarvis-ebook/dp/B00Q1YU4H8	3.9	23	YES
83	xKgcAgAAQBAJ	385538391	9780385538398	"Debbie Doesn'T Do It Anymore, A Novel"	9780385538398	Debbie Doesn''t Do It Anymore: A Novel	http://www.amazon.com/Debbie-Doesnt-Do-Anymore-Novel-ebook/dp/B00GQAIJ0Q	3.9	308	YES
84	LXtzAwAAQBAJ	374709203	9780374709204	"Deep Down Dark, The Untold Stories Of 33 Men Buried In A Chilean Mine, And The Miracle That Set Them Free"	9780374709204	"Deep Down Dark: The Untold Stories of 33 Men Buried in a Chilean Mine, and the Miracle That Set Them Free"	http://www.amazon.com/Deep-Down-Dark-Stories-Chilean-ebook/dp/B00J6TV17C	4.5	761	YES
85	ZY5dAAAAQBAJ	1612192823	9781612192826	Definitely Maybe	9781612192826	Definitely Maybe (Neversink)	http://www.amazon.com/Definitely-Maybe-Neversink-Arkady-Strugatsky-ebook/dp/B00EGMBKIY	3.7	6	NA
86	ZyRyCQAAQBAJ	1451655118	9781451655117	"Delancey, A Man, A Woman, A Restaurant, A Marriage"	9781451655117	"Delancey: A Man, a Woman, a Restaurant, a Marriage"	http://www.amazon.com/Delancey-Man-Woman-Restaurant-Marriage/dp/1451655118	4	188	YES
87	oM6rAwAAQBAJ	1616204303	9781616204303	"Descent, A Novel"	9781616204303	Descent: A Novel	http://www.amazon.com/Descent-Novel-Tim-Johnston-ebook/dp/B00KNCWLO8	4	0	NA
88	iMgOCAAAQBAJ	812998200	9780812998207	"Destiny And Power, The American Odyssey Of George Herbert Walker Bush"	9780812998207	Destiny and Power: The American Odyssey of George Herbert Walker Bush	http://www.amazon.com/Destiny-Power-American-Odyssey-Herbert-ebook/dp/B00VZZ2OY4	4.4	274	YES
89	TFUjBQAAQBAJ	1476798192	9781476798196	Did You Ever Have A Family	9781476798196	Did You Ever Have a Family	http://www.amazon.com/Did-You-Ever-Have-Family-ebook/dp/B00P42WT2Q	4.2	294	YES
90	UN7DCQAAQBAJ	145166706X	9781451667066	"Do Not Sell At Any Price, The Wild, Obsessive Hunt For The World'S Rarest 78Rpm Records"	9781451667066	"Do Not Sell At Any Price: The Wild, Obsessive Hunt for the World''s Rarest 78rpm Records"	http://www.amazon.com/Not-Sell-Any-Price-Obsessive/dp/145166706X	4.1	61	YES
91	Ll8PNoPB0poC	62223003	9780062223005	"Do You Believe In Magic?, The Sense And Nonsense Of Alternative Medicine"	9780062223005	Do You Believe in Magic?: The Sense and Nonsense of Alternative Medicine	http://www.amazon.com/Do-You-Believe-Magic-Alternative-ebook/dp/B009NG3A2M	4.1	373	YES
92	Qa1dAAAAQBAJ	345543807	9780345543806	"Do Or Die, Reluctant Heroes"	9780345543806	Do or Die: Reluctant Heroes	http://www.amazon.com/Do-Die-Reluctant-Suzanne-Brockmann-ebook/dp/B00EGMHKR4	4.1	351	YES
93	yYe4AwAAQBAJ	1476779414	9781476779416	Doctor Sleep	9781476779416	Doctor Sleep: Shining Book 2 (The Shining)	http://www.amazon.com/Doctor-Sleep-Shining-Book-ebook/dp/B009LOJK1Q	4.6	0	NA
